,Flipkart_tweets
200,"Live at 12 AM!

Flipkart Big Savings Days Curtain Raiser Deals | 28th - 30th April

https://t.co/ggqFXZM8yI

10% In… https://t.co/Y3WQZfV0iC"
201,"🎁 [Open from Mobile] Flipkart Curtain Raiser Deals 28th to 30th April

https://t.co/H50Z6cKBMb

+ HDFC Bank Offer"
202,"Flipkart Fake Or Not Fake answer And Directly Play Link 👇👇👇
https://t.co/BgZfz5DvVN

1. Not Fake
2. Fake
3. Fake"
203,"You can get one 3Ply mask cost for ₹4 in your website. Buy some and distribute some.
@Flipkart During this Pandemic… https://t.co/FwiNHBBwwD"
204,"Hello @flipkartsupport @Flipkart I am ordering this product but when I click buy it Will not further proceed , I wa… https://t.co/30xtEQ8WWx"
205,"Everyone use ur Flipkart 50 coins to give 1 Kg Oxigen Refill  and more using supercoins #Flipkart 
@Flipkart… https://t.co/elKqDNoiHr"
206,"NutriGlow Sunscreen Fairness Liquorice UV Lotion - SPF 40 PA+++ -
#LowestPriceEver

Deal : ₹ 40/- 
Price : ₹ 175/-… https://t.co/62TNP0ojZ1"
207,"HIGHLANDER Full Sleeve Color Block Men Sweatshirt Rs. 587 - Flipkart
https://t.co/sHMoMsPzym"
208,"#HIMALAYA Purifying Neem Face Wash(450 ml) 

https://t.co/DJtutYbnQy

Rs.302"
209,"Choose one of these phones
@Flipkart @IndiaPOCO @oneplus @Vivo_India @Vivo_India @Vivo_India @XiaomiIndia… https://t.co/MTgNIxAZCJ"
210,"OPPO is released its OPPO A53s 5G smartphone finally today. 
The Phone will be on #Flipkart from 2nd May.
-
-
-… https://t.co/B9M30WNqde"
211,"Used Flipkart supercoins to donate 1 Kg of oxygen cylinder Refill and 1 Hour of Ambulance service.

Helping with wh… https://t.co/6WxEYFvym8"
212,Product No 10 Top Selling 100 products on Amazon and Flipkart Profitable... https://t.co/2fDRZFmMo4 via @YouTube
213,"Tokyo Talkies Women's Tops &amp; Dress Starts at ₹249

https://t.co/umLaIHyJm3"
214,"I just Donated For the 10KG Oxygen Cylinder Refill in @Flipkart using Supercoins.. 
I request everyone to do so… https://t.co/OrJooa8egl"
215,"Galaxy F62 is coming up for a Flipkart discount sale. You can get it for just Rs 18,000 with any card and payment m… https://t.co/Q19kX381k0"
216,"Hi @Flipkart 
I tried to orde a tv with help of my Axis bank cc however amount debited but order not confirmed. 
Pl… https://t.co/4af2mcvl4y"
217,"Flipkart lo supercoins vunna vallu try to donate guys 👀 

I have done with my part 

#StayStrongIndia https://t.co/WAjYv5Jb1h"
218,One of pathetic flight booking App @flipkartsupport . Not only take Convenience charges Rs 450 per ticket on bookin… https://t.co/h96JE1KuFL
219,Price of every Oximeter on Flipkart and Amazon has increased by 300% to 400% in the last one week. Is there anythin… https://t.co/ww18D7i4W0
220,I want Flipkart axis bank credit card on the basis of card to card apply...but bank staff tell me card to card is n… https://t.co/ofH2vzm6GF
221,"Flipkart Daily Power Play With Champions Quiz Answers | 27 April 2021 | Delhi vs Bangalore
https://t.co/vEeSH3y36c https://t.co/Q2ZiERVzT7"
222,"Flipkart The Bid and Win Show Quiz Answers (27 April 2021) USPA Analog Watch
https://t.co/B59oS3ySaY https://t.co/0JAex32gpz"
223,"#HIMALAYA Purifying Neem Face Wash ( 2200ml )@266

https://t.co/yY01PfjmFl"
224,"#Flipkart #onlineseller #Flipkartsellers #TDS #Lowerdeductioncertificate #sellingonFlipkart
Pay TDS @ LDC Rates - FY 2021-22"
225,"Flipkart Fake or Not Quiz Answers Today (27 April 2021)
https://t.co/5K4jRH2Gt1 https://t.co/xzoyFHmttz"
226,"HIMALAYA Purifying Neem Face Wash ( 2200ml ) At 266

https://t.co/M16IGmwp6R"
227,Product No 9 Top Selling 100 products on Amazon and Flipkart Profitable ... https://t.co/6K4jG1YjiK via @YouTube
228,"Flipkart Daily Trivia Quiz Answers (27 April 2021)
https://t.co/k0eAsavJH3 https://t.co/dcDNj3p89B"
229,"Dear @HDFC_Bank, Please don't send me Dineout coupons, I was very happy with Amazon/Flipkart coupons. By providing… https://t.co/GZSC8WRxhT"
230,"You can donate the Flipkart SuperCoins for a good cause

Head over to Flipkart &gt; SuperCoins tab &gt; Donate Oxygen, Ma… https://t.co/JujC2MNuBw"
231,Don't miss out on this Super Offer of #HybridANC #BluetoothEarbuds #LibertyAir2Pro which is available at just 9999/… https://t.co/Sk5a4oOkO0
232,"If you have super coin then please do this🙏🙏
#DonateOxygen 
#Flipkart 🙏🙏 https://t.co/0SOpjks2Cf"
233,Hey @Flipkart - what's with the payment request when I have not bought anything from your app? Possible fraud. Plea… https://t.co/mLMV8xst3w
234,"Oppo A53s 5G Set to Launch in India Today, to Go on Sale via Flipkart https://t.co/x0Kxo2xhDJ"
235,"Need rectification. My first name is ""Mohamed Faizal"" and last name is ""Asraf Ali"". My PNR JG8TG .But when I check… https://t.co/GLpTGR1Fzt"
236,"WallBerry Large Self Adhesive Wall Sticker(Pack of 1) Rs. 159 - Flipkart
https://t.co/uP5VTLmc6m"
237,"Done 🙏
Hope this will serve needy..
@Flipkart 
@GiveIndia 
@flipkartsupport https://t.co/ur8MXh32qN"
238,"Nokia 5.4 to Go on Sale Today via Flipkart and https://t.co/6ERqOOWCAR, Nokia Power Earbuds Lite Now Available - Ga… https://t.co/Q7zW7dO2F8"
239,You Can Use Your @Flipkart Supercoins to Donate Oxygen and Ambulance Service. Best time to use Supercoins to Help O… https://t.co/RAUScopwRZ
240,If You Have At Least 30 Filpkart SuperCoin Then Please Donate In This Pandemic Situation For Ambulance Service Or O… https://t.co/lMXoVVbK0h
241,"https://t.co/1PSxxlWuHZ
Follow me for more information"
242,"Home Candy #Bedsheets Upto 81% Off Starting From Rs.225 @ Flipkart

https://t.co/OTEz1yVVLh"
243,I ♥ this product on Flipkart! Fabrika Women Kurta and Pant Set https://t.co/jQ2SYF7DPj #buyonflipkart via @Flipkart https://t.co/frwlgPlbFf
244,Dear @SamsungIndia kindly take an action against @Flipkart and its seller. I order Samsung u flex and they sent me… https://t.co/8ybdZUrm09
245,I ♥ this product on Flipkart! Fabrika Women Kurta and Palazzo Set https://t.co/SvGaZOOlbO #buyonflipkart via… https://t.co/qmGhvDIhht
246,Donated 1 KG Oxygen &amp; 1 Hour Ambulance 🚑 Through @Flipkart Coins #Covid19IndiaHelp #CoronavirusIndia #COVID19 https://t.co/bV4RblR5Yg
247,I ♥ this product on Flipkart! Fabrika Women Kurta and Pant Set https://t.co/0eKPcS59uq #buyonflipkart via @Flipkart https://t.co/EFuCs3QZb0
248,"Sports wear with DeftDry® technology for faster sweat evaporation
Now available on Amazon and Flipkart...… https://t.co/C9B8xorb2X"
249,"Almost all Gold, Silver and Platinum Coins and Bars gone from Flipkart (Walmarts Indian Arm for E-Commerce) since l… https://t.co/b2kjYa3lpH"
250,"Donate 1KG OXYGEN Cylinder by 50 Flipkart super coin.

👉 https://t.co/d6A4xqOfBt

🙏Donate 1 Hour Ambulance Service… https://t.co/S31xCYcx28"
251,"Donate 1 Kg Oxygen Cylinder Refill
https://t.co/itA5oauzo8 
 You can donate oxygen through the Flipkart app . Click… https://t.co/5VjEIWPfI4"
252,"Hi @Flipkart ,  Just to confirm, why you need my Aadhar card to process my prepaid return order. Even you are askin… https://t.co/OWLgIvbwcm"
253,"Oppo launches A53s 5G smartphone in India from Rs 14,990 #OppoA53s5GPrice #Oppo #OppoIndia #Devices #Series… https://t.co/Gz1diZgTtL"
254,"Oppo launches A53s 5G smartphone in India from Rs 14,990 #OppoA53s5GPrice #Oppo #OppoIndia #Devices #Series… https://t.co/TtpWNC4kuc"
255,"Supply Chain, Inventory and Logistics Management #worktogether #onegoal #onevision #humhongekamyaab 🙏🏽🤝🏽🇮🇳👍🏽💪🏾👏🏽👏🏽 https://t.co/6mQ2kNgkoB"
256,"Hello @Flipkart what is this ? Item available on site, but not available to purchase ? https://t.co/xRBGWTuD6n"
257,If you have any supercoins left in your flipkart account then please donate it for Oxygen or Ambulance. https://t.co/lRbPCCz181
258,"Anyone having Flipkart supercoin please use your super coin for covid donation
#COVID19 https://t.co/aJBfJZVY1Y"
259,"[Upcoming] #Flipkart Big Savings Days - Curtain Raiser Deals (28th - 30th April)

Order at Sale Prices Before The S… https://t.co/dputcQYFTd"
260,"📢 Enjoy upto 60% off on Myshka products

Available on @myntra @limeroad @ajiolife @flipkart @amazondotin 

Tag… https://t.co/LUFnADkodJ"
261,"The Oppo A53s 5G was teased recently on Flipkart, and today the phone makes its official debut. It comes with a Dim… https://t.co/moHipxVRPH"
262,"Marble stains Remover on Amazon/Flipkart 

#India #Karnataka #Tamilnadu #Telangana #Maharashtra #Delhi #Gujarat… https://t.co/oDw7au1ml5"
263,"Flipkart users andharu super coins unte plz use them to fonate a oxygen cylinder 🙏🙏🙏
#Covid19IndiaHelp"
264,"Hi sir
Your delivery agent made the delivery of my replacement product to someone else rather than me. So i haven't… https://t.co/398dTPJHi2"
265,"Traders' Union seeks action against Amazon, Flipkart #CAIT #amazon #Flipkart #BizUpdates https://t.co/naFLPv1jmM"
266,Hi @amazonIN  if you can deliver the product in time then whats the use of displaying delivery date and the custome… https://t.co/dPnzLigF4j
267,"Finally, I can use my Flipkart coins. Donate if possible.
https://t.co/Y1ZvZSfuw8 https://t.co/lAGA0ym1bF"
268,"♦️Just gotta know about this, so hereby sharing ♦️

Donate 1KG OXIGEN Cylinder by 50 Flipkart super coin.
👉🏼… https://t.co/Dwn9F1CtAf"
269,"Microfiber Cleaning Cloth on Amazon/Flipkart

#Bhopal #Kanpur #Tiruppur #Amritsar #Kozhikode #Warangal #Udaipur… https://t.co/F3re9VFAdp"
270,"♦️Just gotta know about this, so hereby sharing ♦️

Donate 1KG OXIGEN Cylinder by 50 Flipkart super coin.
👉🏼… https://t.co/4jT6PG3uTd"
271,"Do book comes under your essential service?🙄
I need to order some books.
@amazonIN @Flipkart #amazon #flipkart… https://t.co/2fUvwpw26e"
272,"Donate 1KG OXIGEN Cylinder by 50 Flipkart super coin.

👉 https://t.co/UnAkRXGTXz

🙏Donate 1 Hour Ambulance Service… https://t.co/NQ96lP04d8"
273,"I don't want to sound rude here, but is Flipkart really trying to make their own profit here?
1 Flipkart coin equal… https://t.co/3LXEVCpxSa"
274,Hi flipkart Again you Repeat the last case ..... every order delayed....bad services @badExperience @Flipkart… https://t.co/3dBwgaULtb
275,"She believes in Swach, because she has experienced the promise of Swach, every drop of water. Tata Swach continues… https://t.co/BJhOkcBLVg"
276,Steam patte vaporiser Kuda last week meeda 100 rupees pencharu Amazon and Flipkart loo🤗😬
277,"Order I'd   OD121489493703116000
The worst product and service 
@Flipkart 
@flipkart 
@flipkart 
It been two.days t… https://t.co/QiXDcEI5Qi"
278,"#Flipkart
#AMOLED display or  #IPS display in redmi note 9 https://t.co/9DFEVjOodY"
279,"Apple MacBook Pro Gets Price Cut on Amazon Buy Now hurry up

 https://t.co/MOcU9NlWgz

#Apple  #AppleEvent… https://t.co/9cveGTrgSM"
280,Ordered  a tablet from flipkart received the defective product for first time and again received the defective prod… https://t.co/IcVSTuLJS7
281,"18+ Deal | 64% Off : Skore New Adventure Pack With Disposal Pouches Condom (Set Of 8, 80S) @238

https://t.co/8E7Q81Vzbi"
282,Best Top Trending and Profitable Products To Sell On Amazon &amp; Flipkart B... https://t.co/esCL5ZIP1h via @YouTube @amazonIN @Flipkart
283,"Staying indoors to stay safe? With Vega's X2 Beard Trimmer, get styling like professionals done at home!… https://t.co/KwnAll3o5w"
284,"#Logitech MK275 Wireless Mouse &amp; Laptop Keyboard (Black)

₹1395

https://t.co/HoBsv6cXya"
285,"#Logitech MK275 Wireless Mouse &amp; Laptop Keyboard (Black)

 @1395

https://t.co/Jl6vLAhSSU"
286,"Donate 1 hour of ambulance service by redeeming 30 SuperCoins on Flipkart

https://t.co/VBpeCeTVwr https://t.co/pZ26b5dMHh"
287,"(1/2)@AirCanada  I have booked my ticket for travel on 04 May 2021 from Delhi to vancouver @Flipkart ,they are char… https://t.co/PyoxOvk2Q3"
288,"Amelia Eyewear Full Rim Cat-eyed, Rectangle, Oval, Round Frame Amelia Eyewear Full Rim Cat-eyed, Rectangle, Oval, R… https://t.co/9ZXAAmLxLj"
289,This is our India. Here people encash opportunities while u suffer. These life saving equipments are sold at 10 tim… https://t.co/c5mysCaWJx
290,"Amelia Eyewear Full Rim Cat-eyed, Square, Round Frame Amelia Eyewear Full Rim Cat-eyed, Square, Round Frame… https://t.co/Ys93E4inCX"
291,"Realms 8 5G Dual Sim 5g Support
First sale start 28th April at 12.00 Noon.

10% off on hdfc master card and Bank of… https://t.co/letYcuyMx6"
292,PLAY Rabbits 20 Inch Carrom Small Size with Wooden Coins/Striker/Powder (Round Pocket) 50.8 cm Carrom Board(Brown)… https://t.co/QVgSTqTyIT
293,"Donate 1 Kg Oxygen Cylinder Refill for 50 Flipkart Supercoins

➤ https://t.co/0bzxBO3Onc

Donate 10 Kgs Oxygen Cyli… https://t.co/UTJcGZTXpT"
294,"J.Hampstead Super Fine 90's Poly Wool Classic Solid Unstitched Trouser Fabric-1.25 metres
AMAZON PRICE- Rs.1889/-
F… https://t.co/Qyb7rELDEz"
295,"Use your SuperCoins on #Flipkart to donate 1 hour of Ambulance Service.
https://t.co/AEFMG8z7XY https://t.co/FWIJTkTzSn"
296,"Easy Process - 
Just claim it ....

Use your Super coins for donating 

@Flipkart 
#Covid19IndiaHelp #CovidHelp… https://t.co/wG9UOZ28PF"
297,"Panasonic SR-Y18FHS(E)PMS Electric Rice Cooker

@1999

https://t.co/Fkiztl9fa3"
298,"Pigeon Peristaltic Nursing Bottle Kpp 120Ml(Red) Nipple S @122

https://t.co/fuVy9xdOdr

PC : Flipkart @235"
299,"#Flipkart - Buy products at just Rs. 1 &amp; Pay Extra With Super Coins

https://t.co/CbVwzlYhhF"
300,"😅

You can read the novels that I had in me. They are available on Amazon and Flipkart. 😛 https://t.co/GAS16Up47R"
301,"Till a Few years back flipkart had first day sale of every Phone...
Snapdeal, Myntra were go to e shopping sites. T… https://t.co/iTtNmQ8evK"
302,"Earlier, the medical kits were not able to reach quarantined beneficiaries on time due to a shortage of health staf… https://t.co/dvx6bvIjv0"
303,"FARMERS are BEGGERS? read why author Fauzia Arshi thinks that. Amazon, Flipkart, Google Play Book, Warrior's Victor… https://t.co/R2AlLAhiro"
304,"Coins unna vallu donate cheyyandi
Thanks ra @Flipkart https://t.co/NaUL1ExvBL https://t.co/qCvtWxszlL"
305,"Lenovo Smart Clock with Google Assistant Smart Speaker @1999

https://t.co/31mWttFdnr

If you purchased TV or AC re… https://t.co/5eUSb14kb4"
306,"Donated 1 kg oxygen cylinder using @Flipkart supercoins 

Coins vunna vallu cheyandi"
307,"Flipkart &amp; Cred  are giving an exclusive way to help people fight against Corona. 

You can use cred coins &amp; Flipka… https://t.co/FWegOsXo1j"
308,"That text msg didn't solve my issue as, mentioned in complaint reverted to back-end team if they are unable to unbl… https://t.co/JBg2ElmpcX"
309,"IPOs we might see in 2021:

Wise 💳
Stripe 💳
Onfido 👀
Flipkart 🛒
Babylon 👩‍⚕️
Marqeta 💳
Instacart 🛒
BrewDog 🍺
EG Gro… https://t.co/RwwZJnn5r3"
310,I have buy a head on  shampoo from flipkart. After getting my product I saw the item is out of date I have contact… https://t.co/hs99dVNp7m
311,"[40% OFF] Huggies Wonder Pants Diapers Playbox ( 152 pc )- 

at ₹1,318

https://t.co/EWsto7yJZC"
312,"Galanz Washing Machines - 1500₹ off using 200 supercoins

Claim : https://t.co/ryRYZMZYxv

https://t.co/9UogZwP3CU https://t.co/zwetM88zER"
313,"Washing Machines : ₹1500 Off using 200 Supercoins

Claim : https://t.co/nrBPdnWts4

Eligible Products :… https://t.co/eRmocZOckO"
314,Hey @flipkartsupport @Flipkart .cannot update address on flipkart quick homepage.kindly help?
315,"Done , those of you who have flipkart supercoins do donate !! https://t.co/NJDv1EA0HP https://t.co/1AlFoQanDw"
316,"Hi @Flipkart  @flipkartsupport  ,
Why my order's getting delay in delivery.

Order ID : OD121559033106564000

Find… https://t.co/1yd9AE3P46"
317,"[40% OFF] Huggies Wonder Pants Diapers Playbox ( 152 pc )- at ₹1,318

https://t.co/g5APzhfO0I"
318,"Oye @Flipkart you always send me all these notifications.
For a change Surprise me, Send me something as a gift¡🎁💐"
319,https://t.co/3IIFVBE05o https://t.co/3IIFVBE05o 34 Times Stars Slayed In Crop Tops &amp; Jeans For Spring: Kendall Jenn… https://t.co/uFb11GpcPY
320,Nice initiative @Flipkart @GiveIndia.  Better if you can allow the donation more than once. https://t.co/9QGSTJ3Th2
321,"PLAY-DOH Sand Shimmer Stretch Single Can of Sparkly Orange Compound for Kids 3 Years and Up, 6-Ounce Can, Non-Toxic… https://t.co/KngYSyfnXA"
322,Donate 1 Hour of Ambulance Service &amp; 1 Kg Oxygen Cylinder Refill with Flipkart Supercoin. #Covid19IndiaHelp https://t.co/SFl6gpfYoP
323,"#Flipkart your company has cheated on me, I want resolution"
324,If u have super coins in flipkart you can use those coins for covid oxygen cylinder donation. https://t.co/8MJkwjxuBl
325,"#Flipkart don't buy products from Flipkart , #useamazon ... Flipkart has cheated on me, and customer care executive… https://t.co/ot8PpVb5ly"
326,"TRIDENT Cotton 380 GSM Face Towel Set(Pack of 10) Rs. 299 - Flipkart
https://t.co/ATKycqgtvH"
327,If you have any supercoins left in your Flipkart Account please donate.. https://t.co/0U1wP675kN
328,"Anyone having @Flipkart super coins can donate for oxygen refill and ambulence.

#Covid19IndiaHelp 

Done mine.… https://t.co/cxeWtsoRTH"
329,"Don't ever order at @Flipkart ,they have new policy that if you ordered anything&amp;you don't like that product. They… https://t.co/xXFNfy7qKk"
330,I think those who have more coins on Flipkart should do it.  These coins can save many lives.🙏🙏Start with just 50 c… https://t.co/dGBsQQ6Dr8
331,"Here's a look at the best smartphone deals which will be offered during #Flipkart's #BigSavingDays sale
https://t.co/L8B8jVsEqq"
332,"U can Donate through FlipKart super coins 

1. 1KG oxygen Cylinder  - 50 Coins 
2. 1 Hr of Ambulance Services - 30… https://t.co/6wrzqMFTtu"
333,Sir my name is ravi Shankar Yadav Your company had a request cast for refund in flipkart But I didn't get my refund… https://t.co/xBu3DFSlDb
